paper_a,paper_b,similarity
AST Audio Spectrogram Transformer,Learning Transferable Visual Models From Natural Language Supervision,0.44378
DECOUPLED WEIGHT DECAY REGULARIZATION,wav2vec 2.0 A Framework for Self-Supervised,0.440983
Robust Speech Recognition via Large-Scale Weak Supervision,Symbolic Discovery of Optimization Algorithms,0.440751
Language Models are Few Shot Learners,Proximal Policy Optimization Algorithms,0.435699
Grounding DINO,Language Models are Few Shot Learners,0.435078
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,VOYAGER An Open-Ended Embodied Agent,0.433636
An Image is Worth 16x16 words,Grounding DINO,0.432404
Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,VOYAGER An Open-Ended Embodied Agent,0.430123
Mastering Atari Go Chess and Shogi by Planning with a learned model,Symbolic Discovery of Optimization Algorithms,0.429259
Symbolic Discovery of Optimization Algorithms,VOYAGER An Open-Ended Embodied Agent,0.428843
DECOUPLED WEIGHT DECAY REGULARIZATION,Learning Transferable Visual Models From Natural Language Supervision,0.428741
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.428215
An Image is Worth 16x16 words,wav2vec 2.0 A Framework for Self-Supervised,0.427535
Masked Autoencoders Are Scalable Vision Learners,VOYAGER An Open-Ended Embodied Agent,0.426102
DECOUPLED WEIGHT DECAY REGULARIZATION,Proximal Policy Optimization Algorithms,0.425014
Learning Transferable Visual Models From Natural Language Supervision,wav2vec 2.0 A Framework for Self-Supervised,0.424401
DECOUPLED WEIGHT DECAY REGULARIZATION,Language Models are Few Shot Learners,0.424202
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Robust Speech Recognition via Large-Scale Weak Supervision,0.423175
Attention Is All You Need,DECOUPLED WEIGHT DECAY REGULARIZATION,0.422192
Masked Autoencoders Are Scalable Vision Learners,Robust Speech Recognition via Large-Scale Weak Supervision,0.421624
An Image is Worth 16x16 words,Robust Speech Recognition via Large-Scale Weak Supervision,0.421545
Implementing the Deep Q-Network,Symbolic Discovery of Optimization Algorithms,0.421449
MusicLM Generating Music From Text,SELF-INSTRUCT Aligning Language Models,0.421219
Attention Is All You Need,HuBERT Self-Supervised Speech Representation,0.420252
End to End Object Detection with Transformers,Language Models are Few Shot Learners,0.419182
HuBERT Self-Supervised Speech Representation,Language Models are Few Shot Learners,0.419016
Attention Is All You Need,GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,0.418339
Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,wav2vec 2.0 A Framework for Self-Supervised,0.4183
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Language Models are Few Shot Learners,0.417597
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Proximal Policy Optimization Algorithms,0.416097
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,LLaMA Open and Efficient Foundation Language Models,0.409421
Attention Is All You Need,End to End Object Detection with Transformers,0.409049
Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,Symbolic Discovery of Optimization Algorithms,0.407142
Symbolic Discovery of Optimization Algorithms,wav2vec 2.0 A Framework for Self-Supervised,0.405464
SELF-INSTRUCT Aligning Language Models,wav2vec 2.0 A Framework for Self-Supervised,0.405405
Grounding DINO,Masked Autoencoders Are Scalable Vision Learners,0.403701
NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,SELF-INSTRUCT Aligning Language Models,0.402165
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Masked Autoencoders Are Scalable Vision Learners,0.401573
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.401471
HuBERT Self-Supervised Speech Representation,SELF-INSTRUCT Aligning Language Models,0.401458
Implementing the Deep Q-Network,VOYAGER An Open-Ended Embodied Agent,0.40123
Language Models are Few Shot Learners,Masked Autoencoders Are Scalable Vision Learners,0.401229
DECOUPLED WEIGHT DECAY REGULARIZATION,End to End Object Detection with Transformers,0.401163
DECOUPLED WEIGHT DECAY REGULARIZATION,HuBERT Self-Supervised Speech Representation,0.400177
Proximal Policy Optimization Algorithms,SELF-INSTRUCT Aligning Language Models,0.399056
LLaMA Open and Efficient Foundation Language Models,Symbolic Discovery of Optimization Algorithms,0.399022
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Learning Transferable Visual Models From Natural Language Supervision,0.397132
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,Masked Autoencoders Are Scalable Vision Learners,0.39472
An Image is Worth 16x16 words,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.394542
HuBERT Self-Supervised Speech Representation,MusicLM Generating Music From Text,0.393433
MusicLM Generating Music From Text,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.393169
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,VOYAGER An Open-Ended Embodied Agent,0.393108
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Learning Transferable Visual Models From Natural Language Supervision,0.39023
Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,SELF-INSTRUCT Aligning Language Models,0.390028
Deep Reinforcement Learning from Human Preferences,SELF-INSTRUCT Aligning Language Models,0.38992
Proximal Policy Optimization Algorithms,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.387849
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.386309
Grounding DINO,SELF-INSTRUCT Aligning Language Models,0.386299
AST Audio Spectrogram Transformer,End to End Object Detection with Transformers,0.385979
End to End Object Detection with Transformers,SELF-INSTRUCT Aligning Language Models,0.383582
HuBERT Self-Supervised Speech Representation,LLaMA Open and Efficient Foundation Language Models,0.38172
Language Models are Few Shot Learners,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.381078
LLaMA Open and Efficient Foundation Language Models,wav2vec 2.0 A Framework for Self-Supervised,0.380508
AST Audio Spectrogram Transformer,MusicLM Generating Music From Text,0.380437
Grounding DINO,Robust Speech Recognition via Large-Scale Weak Supervision,0.380273
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Mastering Atari Go Chess and Shogi by Planning with a learned model,0.380261
Mastering Atari Go Chess and Shogi by Planning with a learned model,SELF-INSTRUCT Aligning Language Models,0.380076
HuBERT Self-Supervised Speech Representation,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.378212
HuBERT Self-Supervised Speech Representation,Learning Transferable Visual Models From Natural Language Supervision,0.377792
Adam A Method for Stochastic Optimization,Implementing the Deep Q-Network,0.377729
NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.376456
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,wav2vec 2.0 A Framework for Self-Supervised,0.374262
AST Audio Spectrogram Transformer,Symbolic Discovery of Optimization Algorithms,0.374189
LLaMA Open and Efficient Foundation Language Models,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.373872
DECOUPLED WEIGHT DECAY REGULARIZATION,Robust Speech Recognition via Large-Scale Weak Supervision,0.372449
AST Audio Spectrogram Transformer,Adafactor Adaptive Learning Rates with Sublinear Memory Cost,0.368954
An Image is Worth 16x16 words,SELF-INSTRUCT Aligning Language Models,0.367255
Learning Transferable Visual Models From Natural Language Supervision,VOYAGER An Open-Ended Embodied Agent,0.365395
End to End Object Detection with Transformers,Robust Speech Recognition via Large-Scale Weak Supervision,0.364823
Attention Is All You Need,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.364411
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,SELF-INSTRUCT Aligning Language Models,0.363506
Language Models are Few Shot Learners,MusicLM Generating Music From Text,0.363067
Language Models are Few Shot Learners,VOYAGER An Open-Ended Embodied Agent,0.36264
Deep Reinforcement Learning from Human Preferences,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.361484
Learning Transferable Visual Models From Natural Language Supervision,Proximal Policy Optimization Algorithms,0.360438
Attention Is All You Need,MusicLM Generating Music From Text,0.359838
Deep Reinforcement Learning from Human Preferences,Masked Autoencoders Are Scalable Vision Learners,0.359673
HuBERT Self-Supervised Speech Representation,Symbolic Discovery of Optimization Algorithms,0.358115
Attention Is All You Need,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.356954
AST Audio Spectrogram Transformer,Masked Autoencoders Are Scalable Vision Learners,0.356927
Grounding DINO,LLaMA Open and Efficient Foundation Language Models,0.356174
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Masked Autoencoders Are Scalable Vision Learners,0.354613
End to End Object Detection with Transformers,Segment Anything,0.354437
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Robust Speech Recognition via Large-Scale Weak Supervision,0.353323
DECOUPLED WEIGHT DECAY REGULARIZATION,Grounding DINO,0.35288
NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,Symbolic Discovery of Optimization Algorithms,0.351668
AST Audio Spectrogram Transformer,SELF-INSTRUCT Aligning Language Models,0.349096
An Image is Worth 16x16 words,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.349031
INCORPORATING NESTEROV MOMENTUM INTO ADAM,wav2vec 2.0 A Framework for Self-Supervised,0.348438
Adam A Method for Stochastic Optimization,wav2vec 2.0 A Framework for Self-Supervised,0.347705
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,0.347394
Adam A Method for Stochastic Optimization,Attention Is All You Need,0.345926
LLaMA Open and Efficient Foundation Language Models,VOYAGER An Open-Ended Embodied Agent,0.345073
Adam A Method for Stochastic Optimization,Robust Speech Recognition via Large-Scale Weak Supervision,0.344116
Segment Anything,Symbolic Discovery of Optimization Algorithms,0.343438
Adam A Method for Stochastic Optimization,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.343304
Adam A Method for Stochastic Optimization,Language Models are Few Shot Learners,0.343019
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,Implementing the Deep Q-Network,0.341866
DECOUPLED WEIGHT DECAY REGULARIZATION,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.340329
End to End Object Detection with Transformers,GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,0.339291
Language Models are Few Shot Learners,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.338551
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Learning Transferable Visual Models From Natural Language Supervision,0.338426
DECOUPLED WEIGHT DECAY REGULARIZATION,GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,0.337558
Attention Is All You Need,VOYAGER An Open-Ended Embodied Agent,0.337498
LLaMA Open and Efficient Foundation Language Models,Learning Transferable Visual Models From Natural Language Supervision,0.33724
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Masked Autoencoders Are Scalable Vision Learners,0.336967
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,HuBERT Self-Supervised Speech Representation,0.336838
An Image is Worth 16x16 words,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.336078
BERT Pretraining of Deep Bidirectional Transformers for,DECOUPLED WEIGHT DECAY REGULARIZATION,0.334813
INCORPORATING NESTEROV MOMENTUM INTO ADAM,VOYAGER An Open-Ended Embodied Agent,0.334752
DECOUPLED WEIGHT DECAY REGULARIZATION,SELF-INSTRUCT Aligning Language Models,0.333643
An Image is Worth 16x16 words,HuBERT Self-Supervised Speech Representation,0.33296
Masked Autoencoders Are Scalable Vision Learners,Proximal Policy Optimization Algorithms,0.332068
Deep Reinforcement Learning from Human Preferences,Learning Transferable Visual Models From Natural Language Supervision,0.332008
LLaMA Open and Efficient Foundation Language Models,MusicLM Generating Music From Text,0.331238
An Image is Worth 16x16 words,LLaMA Open and Efficient Foundation Language Models,0.331126
Grounding DINO,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.330684
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,LLaMA Open and Efficient Foundation Language Models,0.330462
LLaMA Open and Efficient Foundation Language Models,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.329277
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Grounding DINO,0.328864
Deep Reinforcement Learning from Human Preferences,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.328258
Learning Transferable Visual Models From Natural Language Supervision,MusicLM Generating Music From Text,0.325376
BERT Pretraining of Deep Bidirectional Transformers for,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.325173
Proximal Policy Optimization Algorithms,Robust Speech Recognition via Large-Scale Weak Supervision,0.324891
DECOUPLED WEIGHT DECAY REGULARIZATION,Implementing the Deep Q-Network,0.324701
Deep Reinforcement Learning from Human Preferences,Symbolic Discovery of Optimization Algorithms,0.324286
Implementing the Deep Q-Network,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.323676
INCORPORATING NESTEROV MOMENTUM INTO ADAM,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.323437
Adam A Method for Stochastic Optimization,Masked Autoencoders Are Scalable Vision Learners,0.323288
Deep Reinforcement Learning from Human Preferences,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.322037
BERT Pretraining of Deep Bidirectional Transformers for,VOYAGER An Open-Ended Embodied Agent,0.320462
An Image is Worth 16x16 words,Segment Anything,0.319304
Proximal Policy Optimization Algorithms,wav2vec 2.0 A Framework for Self-Supervised,0.318668
End to End Object Detection with Transformers,INCORPORATING NESTEROV MOMENTUM INTO ADAM,0.318302
Deep Reinforcement Learning from Human Preferences,Language Models are Few Shot Learners,0.317698
Adam A Method for Stochastic Optimization,Learning Transferable Visual Models From Natural Language Supervision,0.317443
INCORPORATING NESTEROV MOMENTUM INTO ADAM,NATURAL TTS SYNTHESIS BY CONDITIONING WAVENET ON MEL SPECTROGRAM,0.31735
End to End Object Detection with Transformers,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.316986
End to End Object Detection with Transformers,HuBERT Self-Supervised Speech Representation,0.315689
AST Audio Spectrogram Transformer,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.314022
AST Audio Spectrogram Transformer,Language Models are Few Shot Learners,0.313965
BERT Pretraining of Deep Bidirectional Transformers for,MusicLM Generating Music From Text,0.312933
Adam A Method for Stochastic Optimization,HuBERT Self-Supervised Speech Representation,0.31284
BERT Pretraining of Deep Bidirectional Transformers for,Implementing the Deep Q-Network,0.311858
GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,Robust Speech Recognition via Large-Scale Weak Supervision,0.311854
Adafactor Adaptive Learning Rates with Sublinear Memory Cost,End to End Object Detection with Transformers,0.310963
Attention Is All You Need,Proximal Policy Optimization Algorithms,0.310946
VOYAGER An Open-Ended Embodied Agent,wav2vec 2.0 A Framework for Self-Supervised,0.310444
An Image is Worth 16x16 words,Lion Secretly Solves Constrained Optimization As Lyapunov Predicts,0.310121
End to End Object Detection with Transformers,wav2vec 2.0 A Framework for Self-Supervised,0.306892
AST Audio Spectrogram Transformer,DECOUPLED WEIGHT DECAY REGULARIZATION,0.306698
Adam A Method for Stochastic Optimization,GRPO-LEAD A Difficulty-Aware Reinforcement Learning Approach for,0.305551
LLaMA Open and Efficient Foundation Language Models,Masked Autoencoders Are Scalable Vision Learners,0.304633
INCORPORATING NESTEROV MOMENTUM INTO ADAM,SELF-INSTRUCT Aligning Language Models,0.301768
Masked Autoencoders Are Scalable Vision Learners,Retrieval Augmented Generation for Knowledge Intensive NLP Tasks,0.301342
Attention Is All You Need,Segment Anything,0.300076
